compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag2Ga2Te4,122,tI16,0.5152,insulator-direct,31.9983,5.61507,255.986,175.007,87.5,2.30652,25.1242,23.6298,0.85844,8.87363e-05,33.0715,35.163,8,3,-2.62012,
Ag2Ge1Li1,225,cF16,0.0,metal,16.9122,7.24778,67.6487,214.969,135.442,2.48396,12.8729,11.7303,1.19221,0.000127256,45.8962,50.3671,4,3,-1.96378,
Ag2Ge2La2,186,hP6,0.0,metal,24.7327,7.14731,148.396,261.079,143.634,2.21964,18.0556,17.3661,3.38542,5.86604e-05,60.7308,63.1418,6,3,-3.80583,
Ag2Hf2,129,tP4,0.0,metal,19.7736,12.0238,79.0945,227.986,143.631,2.12368,11.9974,11.6709,4.06398,4.34526e-05,98.4736,101.228,4,2,-5.18772,
Ag2Hg1I4,111,tP7,1.3556,insulator-direct,39.7017,5.52063,277.912,118.059,61.6854,2.47684,23.2575,20.8618,0.324344,0.00014652,17.4881,19.4964,7,3,-1.41799,
Ag2Ho1,139,tI6,0.0,metal,21.5701,9.76834,64.7103,185.951,128.965,2.31893,9.31528,8.84125,2.02152,7.51548e-05,57.5364,60.6212,3,2,-2.00953,
Ag2Ho1In1,225,cF16,0.0,metal,21.1486,9.72612,84.5944,163.034,102.684,2.41734,12.5101,11.8387,0.995523,7.5868e-05,61.0294,64.4906,4,3,-2.30322,
Ag2Ho2Pb2,186,hP6,0.0,metal,25.0205,10.6187,150.123,196.046,107.863,2.33203,18.507,17.6465,1.94752,6.82302e-05,54.8428,57.5173,6,3,-3.2511,
Ag2Ho2Sn2,186,hP6,0.0,metal,24.1798,8.96177,145.079,234.012,128.775,2.25704,18.2066,17.4891,2.86455,5.96175e-05,62.3899,64.9495,6,3,-3.42359,
Ag2I2,129,tP4,1.9774,insulator-direct,33.7968,5.76754,135.187,133.151,83.7847,2.49393,13.2897,11.9,0.562013,0.000149012,19.9855,22.3194,4,2,-1.37165,
